lat,lng,name,vicinity,Type1,Type2,Type3,Type4,Type5,Type6,rating,user_ratings_total,price_level
41.2705484,-72.9469711,West Haven,West Haven,accounting,finance,point_of_interest,establishment,NA,NA,0,0,0
41.2330862,-73.0260426,Hilton Garden Inn Milford,"291 Old Gate Lane, Milford",accounting,finance,local_government_office,point_of_interest,establishment,NA,4,813,0
41.2311545,-73.0298801,Hyatt Place Milford / New Haven,"190 Old Gate Lane, Milford",accounting,local_government_office,finance,point_of_interest,establishment,NA,4,664,0
41.2558306,-73.0017676,Courtyard by Marriott New Haven Orange/Milford,"136 Marsh Hill Road, Orange",accounting,finance,point_of_interest,establishment,NA,NA,4,499,0
41.2232085,-73.0770867,Hampton Inn Milford,"129 Plains Road, Milford",accounting,finance,point_of_interest,establishment,NA,NA,3.8,824,0
41.2314866,-73.0463287,Super 8 by Wyndham Milford/New Haven,"1015 Boston Post Road, Milford",accounting,finance,local_government_office,point_of_interest,establishment,NA,2.7,294,0
41.2357209,-73.0356117,Zumiez,"1201 Boston Post Road Suite 2008, Milford",accounting,finance,point_of_interest,establishment,NA,NA,4.4,19,2
41.2360074,-73.0355201,Connecticut Post Mall,"1201 Boston Post Road, Milford",accounting,finance,point_of_interest,establishment,NA,NA,4.3,6999,0
41.2351777,-73.0371841,AT&T Store,"1201 Boston Post Road Space 2445, Milford",accounting,local_government_office,finance,point_of_interest,establishment,NA,4.8,799,2
41.2348423,-73.0371839,ALDO,"1201 Boston Post Road #2414, Milford",accounting,finance,point_of_interest,establishment,NA,NA,3.7,47,2
41.234824,-73.0369504,Hollister Co.,"1201 Boston Post Road, Milford",airport,point_of_interest,establishment,NA,NA,NA,4.3,111,2
41.2351357,-73.0378255,Buffalo Wild Wings,"1201 Boston Post Road, Milford",airport,point_of_interest,establishment,NA,NA,NA,4,1341,2
41.2355864,-73.0366258,Express,"1201 Boston Post Road, Milford",airport,point_of_interest,establishment,NA,NA,NA,4.1,88,2
41.235813,-73.03609,Torrid,"1201 Boston Post Road #2048, Milford",airport,point_of_interest,establishment,NA,NA,NA,4.3,92,2
41.2369515,-73.0342675,Diva Kidz,"1201 Boston Post Road, Milford",airport,point_of_interest,establishment,NA,NA,NA,2.9,33,0
41.2356263,-73.0356486,Underground By Journeys,"1201 Boston Post Road, Milford",amusement_park,tourist_attraction,point_of_interest,establishment,NA,NA,4.3,22,2
41.250878,-73.023882,Costco Pharmacy,"1718 Boston Post Road, Milford",amusement_park,tourist_attraction,point_of_interest,establishment,NA,NA,3.2,5,2
41.2360454,-73.0357313,Pretzelmaker,"1201 Boston Post Rd, Space Number 1029A, Milford",aquarium,tourist_attraction,point_of_interest,establishment,NA,NA,3.7,9,1
41.2513231,-73.0177516,Trader Joes,"560 Boston Post Road, Orange",aquarium,tourist_attraction,point_of_interest,establishment,NA,NA,4.6,2243,2
41.2306979,-73.064036,Milford,Milford,art_gallery,bar,night_club,point_of_interest,establishment,NA,0,0,0
41.2360271,-73.0355805,rue21,"1201 Boston Post Road, Milford",art_gallery,point_of_interest,store,establishment,NA,NA,4.2,87,1
41.2192589,-73.0128241,Foran High School,"80 Foran Road, Milford",atm,finance,point_of_interest,establishment,NA,NA,2.9,11,0
41.2386268,-73.0200017,Cracker Barrel Old Country Store,"30 Research Drive, Milford",atm,finance,point_of_interest,establishment,NA,NA,4.3,4689,2
41.2509755,-73.0245418,Cardtronics ATM,"1718 Boston Post Road, Milford",atm,finance,point_of_interest,establishment,NA,NA,0,0,0
41.250878,-73.023882,Costco Vision Center,"1718 Boston Post Road, Milford",atm,finance,point_of_interest,establishment,NA,NA,2.8,16,2
41.2482781,-73.0253079,Whole Foods Market,"1686 Boston Post Road, Milford",atm,finance,point_of_interest,establishment,NA,NA,4.3,789,3
41.2403,-73.0323972,Barnes & Noble,"1375 Boston Post Road, Milford",atm,finance,point_of_interest,establishment,NA,NA,4.6,1152,2
41.23453,-73.03789,Johnny Rockets,"1201 Boston Post Road, Milford",atm,finance,point_of_interest,establishment,NA,NA,3.1,51,2
41.2287369,-73.0691299,Colonial Toyota in Milford,"470 Boston Post Road, Milford",atm,finance,point_of_interest,establishment,NA,NA,4.5,1809,0
41.234657,-73.037679,Cinemark Connecticut Post 14 and IMAX,"1201 Boston Post Road Suite 3000, Milford",atm,finance,point_of_interest,establishment,NA,NA,4.4,1727,0
41.2276746,-73.0490097,The UPS Store,"167 Cherry Street, Milford",atm,finance,point_of_interest,establishment,NA,NA,3.1,54,0
41.2482,-73.0231,Bowlero Milford,"1717 Boston Post Road, Milford",atm,finance,point_of_interest,establishment,NA,NA,4.1,1172,0
41.2365605,-73.0343476,Spencers,"Connecticut Post Mall, 1201 Boston Post Road #1023, Milford",atm,finance,point_of_interest,establishment,NA,NA,3.7,50,2
41.238876,-73.029025,Marshalls,"1413 Boston Post Road, Milford",atm,finance,point_of_interest,establishment,NA,NA,4.3,438,0
41.221337,-73.056141,"Gene Borchetta - Financial Advisor, Ameriprise Financial Services, LLC","3 Schooner Lane Ste 115, Milford",atm,finance,point_of_interest,establishment,NA,NA,0,0,0
41.2663359,-73.0030265,Wells Fargo Bank,"297 Boston Post Road, Orange",atm,finance,point_of_interest,establishment,NA,NA,2.7,10,0
41.2360454,-73.0357313,Aéropostale,"1201 Boston Post Road #2041, Milford",atm,finance,point_of_interest,establishment,NA,NA,4.3,48,2
41.2383912,-73.0354361,AT&T Store,"1319 Boston Post Road #4c, Milford",atm,finance,point_of_interest,establishment,NA,NA,4.8,636,2
41.257564,-73.0115976,The Home Depot,"440 Boston Post Road, Orange",bakery,food,point_of_interest,store,establishment,NA,4.2,980,1
41.2590988,-73.011886,Olive Garden Italian Restaurant,"439 Boston Post Road, Orange",bakery,food,point_of_interest,store,establishment,NA,4.2,2373,2
41.2351937,-73.0359423,"Dr. Nasser Kameli, DMD","1201 Boston Post Road, Milford",bakery,restaurant,food,point_of_interest,store,establishment,3,2,0
41.2230267,-73.0558634,Stonebridge Restaurant,"50 Daniel Street, Milford",bakery,restaurant,point_of_interest,store,food,establishment,4.4,1269,2
41.2246104,-73.0583516,Public Defender,"14 West River Street, Milford",bakery,food,point_of_interest,store,establishment,NA,5,1,0
41.2246104,-73.0583516,Clerks Office,"14 West River Street, Milford",bakery,restaurant,point_of_interest,food,store,establishment,0,0,0
41.2235985,-73.0571283,State Attorney,"14 West River Street, Milford",bakery,restaurant,point_of_interest,food,store,establishment,0,0,0
41.2246104,-73.0583516,Bail Commissioner,"14 West River Street, Milford",bakery,grocery_or_supermarket,clothing_store,health,store,restaurant,0,0,0
41.2449578,-73.0900722,Igor I. Sikorsky Memorial Bridge,Stratford,bakery,restaurant,food,point_of_interest,store,establishment,4.7,13,0
41.2403801,-73.0349169,Rite Aid,"1360 Boston Post Road, Milford",bakery,restaurant,food,point_of_interest,store,establishment,3.2,19,2
41.2243641,-73.0708207,"Dr. Lawrence J. Wartel, MD","326 West Main Street, Milford",bakery,restaurant,point_of_interest,food,store,establishment,0,0,0
41.2211914,-73.0561488,Spinnaker Milford,"3 Schooner Lane, Milford",bakery,restaurant,point_of_interest,food,store,establishment,4.4,86,0
41.2380014,-73.0249496,NAPA Auto Parts - Parts Place Inc,"45 Banner Drive, Milford",bakery,point_of_interest,food,store,establishment,NA,4.5,87,0
41.2321271,-73.0400256,Edgewell Personal Care,"10 Leighton Road, Milford",bakery,food,point_of_interest,store,establishment,NA,4,12,0
41.2252414,-73.070796,Subway,"365 Boston Post Road Unit B, Milford",bakery,restaurant,point_of_interest,food,store,establishment,4.2,92,1
41.2256812,-73.0795573,Bankers Life,"185 Plains Road Ste 205W, Milford",bakery,restaurant,store,food,point_of_interest,establishment,4.9,220,0
41.2476838,-73.0468756,Platt Technical High School,"600 Orange Avenue, Milford",bakery,food,point_of_interest,store,establishment,NA,3.5,68,0
41.248345,-73.0035426,Intuitive Surgical Inc,"25 Executive Boulevard, Orange",bakery,restaurant,food,point_of_interest,store,establishment,0,0,0
41.2264861,-73.018438,Berean Assembly of God Church,Milford,bakery,point_of_interest,food,store,establishment,NA,0,0,0
41.2227871,-73.0571668,Milford Photo,"22 River Street, Milford",bank,atm,finance,point_of_interest,establishment,NA,4.5,181,0
41.2292156,-73.0298796,The Edge Fitness Clubs,"125 Old Gate Lane, Milford",bank,atm,finance,point_of_interest,establishment,NA,4.9,529,0
41.2220944,-73.0464309,Milford City Civil Prprdnss,Milford,bank,finance,point_of_interest,establishment,NA,NA,0,0,0
41.308274,-72.9278835,New Haven,New Haven,bank,finance,point_of_interest,establishment,NA,NA,0,0,0
