store_Id,user_id,name,vicinity,Features
373,1395,West Haven,West Haven,"accounting,finance,point_of_interest,establishment"
1772,1079,Hilton Garden Inn Milford,"291 Old Gate Lane, Milford","accounting,finance,local_government_office,point_of_interest,establishment"
172,1115,Hyatt Place Milford / New Haven,"190 Old Gate Lane, Milford","accounting,local_government_office,finance,point_of_interest,establishment"
563,1404,Courtyard by Marriott New Haven Orange/Milford,"136 Marsh Hill Road, Orange","accounting,finance,point_of_interest,establishment"
877,1402,Hampton Inn Milford,"129 Plains Road, Milford","accounting,finance,point_of_interest,establishment"
1378,1124,Super 8 by Wyndham Milford/New Haven,"1015 Boston Post Road, Milford","accounting,finance,local_government_office,point_of_interest,establishment"
1837,1319,Zumiez,"1201 Boston Post Road Suite 2008, Milford","accounting,finance,point_of_interest,establishment"
2109,1327,Connecticut Post Mall,"1201 Boston Post Road, Milford","accounting,finance,point_of_interest,establishment"
224,1356,AT&T Store,"1201 Boston Post Road Space 2445, Milford","accounting,local_government_office,finance,point_of_interest,establishment"
2174,1110,ALDO,"1201 Boston Post Road #2414, Milford","accounting,finance,point_of_interest,establishment"
1539,1368,Hollister Co.,"1201 Boston Post Road, Milford","airport,point_of_interest,establishment"
1412,1026,Buffalo Wild Wings,"1201 Boston Post Road, Milford","airport,point_of_interest,establishment"
802,1372,Express,"1201 Boston Post Road, Milford","airport,point_of_interest,establishment"
2015,1177,Torrid,"1201 Boston Post Road #2048, Milford","airport,point_of_interest,establishment"
940,1036,Diva Kidz,"1201 Boston Post Road, Milford","airport,point_of_interest,establishment"
1420,1171,Underground By Journeys,"1201 Boston Post Road, Milford","amusement_park,tourist_attraction,point_of_interest,establishment"
865,1449,Costco Pharmacy,"1718 Boston Post Road, Milford","amusement_park,tourist_attraction,point_of_interest,establishment"
1032,1338,Pretzelmaker,"1201 Boston Post Rd, Space Number 1029A, Milford","aquarium,tourist_attraction,point_of_interest,establishment"
997,1315,Trader Joes,"560 Boston Post Road, Orange","aquarium,tourist_attraction,point_of_interest,establishment"
953,1306,Milford,Milford,"art_gallery,bar,night_club,point_of_interest,establishment"
1035,1319,rue21,"1201 Boston Post Road, Milford","art_gallery,point_of_interest,store,establishment"
